MAIN_MARK,BRCH,PLTZ_ITEM_NO,PKG_CD,ITEM_DESCRIPTION,QTY,QTY_UNIT,TAG_QTY,ITEM_TYP,NET_WEIGHT,ITEM_WEIGHT,WEIGHT_UNIT,SHIPPING_LOT,PKG_TYP,MODEL_CD,EXP_LIMIT_TYP,DNGR_ITEM_FLG,ORIGIN_CNTRY_CD,CURR_CD,PLNT_CD,RT_FLG,KIT_FLG,EXP_REQUEST_NO,LINE_NO,KIT_BRCH,MIX_TAG_NO,PLTZ_INSTR_NO,PAR_FLG,KIT_PAR_ITEM_NO,CUSTOMER_PO_NO,CUSTOMER_ITEM_NO,UNIT_PRICE,HS_CD,INPUT_METH_TYP,COM_UPDATE_FUNC_ID,COM_UPDATE_USER_ID,COM_UPDATE_TIMESTAMP,COM_CREATE_FUNC_ID,COM_CREATE_USER_ID,COM_CREATE_TIMESTAMP
DMY7WH01405980051,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980052,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980053,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980054,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980055,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980056,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980057,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980058,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980059,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980060,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980061,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980062,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980063,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980064,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980065,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980066,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980067,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980068,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980069,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980070,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980071,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980072,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980073,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980074,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980075,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980076,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980077,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980078,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980079,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980080,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980081,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980082,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980083,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980084,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980085,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980086,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980087,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980088,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980089,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980090,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980091,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980092,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980093,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980094,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980095,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980096,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980097,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980098,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980099,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
