"PLTZ_INSTR_NO","ITEM_NO","PKG_CD","ITEM_DESCRIPTION","SHIPPING_LOT","BOX_QTY","INSTR_QTY","PACKED_QTY","TOTAL_NET_WEIGHT","BOX_LOT_QTY","WH_STK_LOCATION","COM_UPDATE_FUNC_ID","COM_UPDATE_USER_ID","COM_UPDATE_TIMESTAMP","COM_CREATE_FUNC_ID","COM_CREATE_USER_ID","COM_CREATE_TIMESTAMP"
"DNMY000253","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000254","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000255","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000256","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000257","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000258","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000259","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000260","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000261","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000262","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000263","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000264","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000265","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000266","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000267","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000268","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000269","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000270","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000271","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000272","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000275","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000273","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000274","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000276","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000277","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000278","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000279","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000280","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000281","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000282","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000283","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000284","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000285","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000286","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000287","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000288","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000289","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000290","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000291","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000292","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000293","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000294","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000295","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000296","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000297","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000298","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000299","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000300","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00001","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00002","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00003","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00004","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00005","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00006","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00007","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00008","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00009","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00010","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00011","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00012","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00013","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00014","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00015","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00016","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00017","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00018","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00019","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00020","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00021","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00022","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00023","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00024","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00025","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00026","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00027","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00028","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00029","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00030","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00031","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00032","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00033","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00034","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00035","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00036","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00037","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00038","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00039","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00040","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMYA00041","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000001","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000002","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000003","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000004","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000005","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000006","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000007","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
"DNMY000008","A002TB0091B3N","110","ITA DUMMY ITEM NAME",10,10,10,10,10,50,"","ITA","ITA",2013/02/27 00:00:00,"ITA","ITA",2013/02/27 00:00:00
